RK,PLAYER,AGE,EVENTS,ROUNDS,CUTS MADE,TOP 10,WINS,CUP POINTS,EARNINGS,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.,EAGLES,BIRDIES,PARS,BOGEYS,BIRDIES/RD,HOLES/EAGLE,BALL_SPEED_ROUNDS,BALL_SPEED_AVG,TOTAL BALL SPEED,BALL_SPEED_TOTAL ATTEMPTS,BALL_SPEED_FASTEST SPEED,BALL_SPEED_SLOWEST SPEED,DRIVING_DISTANCE_ROUNDS,DRIVING_DISTANCE_AVG,TOTAL DISTANCE,TOTAL DRIVES,SPIN_RATE_ROUNDS,SPIN_RATE_AVG,TOTAL SPIN SPEED,SPIN_RATE_TOTAL ATTEMPTS,HIGHEST SPIN RATE,LOWEST SPIN RATE,CLUB_HEAD_SPEED_ROUNDS,CLUB_HEAD_SPEED_AVG,TOTAL CLUB HEAD SPEED,CLUB_HEAD_SPEED_TOTAL ATTEMPTS,CLUB_HEAD_SPEED_FASTEST SPEED,CLUB_HEAD_SPEED_SLOWEST SPEED,CARRY_DISTANCE_ROUNDS,CARRY_DISTANCE_AVG,TOTAL DIST. TO IMPACT,CARRY_DISTANCE_TOTAL ATTEMPTS,LONGEST CARRY DISTANCE,SHORTEST CARRY DISTANCE,LAUNCH_ANGLE_ROUNDS,LAUNCH_ANGLE_AVG,TOTAL VERT. LAUNCH ANGLE,LAUNCH_ANGLE_TOTAL ATTEMPTS,LOWEST LAUNCH ANGLE,STEEPEST LAUNCH ANGLE,PUTTING FROM INSIDE INSIDE 5'_ROUNDS,PUTTING FROM INSIDE INSIDE 5'_%,PUTTING FROM INSIDE INSIDE 5'_ATTEMPTS,PUTTING FROM INSIDE INSIDE 5'_PUTTS_MADE,PUTTING FROM 5-10'_ROUNDS,PUTTING FROM 5-10'_%,PUTTING FROM 5-10'_ATTEMPTS,PUTTING FROM 5-10'_PUTTS_MADE,PUTTING FROM - 10-15'_ROUNDS,PUTTING FROM - 10-15'_% MADE,PUTTING FROM - 10-15'_ATTEMPTS,PUTTING FROM - 10-15'_PUTTS_MADE,PUTTING FROM - 15-20'_ROUNDS,PUTTING FROM - 15-20'_% MADE,PUTTING FROM - 15-20'_ATTEMPTS,PUTTING FROM - 15-20'_PUTTS_MADE,PUTTING FROM - 20-25'_ROUNDS,PUTTING FROM - 20-25'_% MADE,PUTTING FROM - 20-25'_ATTEMPTS,PUTTING FROM - 20-25'_PUTTS_MADE
1,Justin Thomas,28,18,66,15,10,3,2570,7344040.0,304.2,57.3,35,69.6,1.722,62.5,6,300,726,144,4.545,198,66,175.10,30292.28,173,179.24,170.96,66,304.2,35286,116,66,2279.1,337312,148,3307,1511,66,116.23,19526.94,168,120.01,485895104,66,288.8,49959.7,173,347.7,52.2,66,10.21,1765.47,173,3.92,15.54,66,97.60,834,814,66,52.89,225,119,66,28.33,180,51,66,21.67,120,26,66,7.95,88,7
2,Jon Rahm,26,15,58,14,8,2,3080,5959819.0,307.6,63.1,22,70.3,1.717,58.8,9,245,667,108,4.224,116,58,175.89,37816.19,215,183.80,167.39,58,307.6,35682,116,58,2426.4,502260,207,3379,1659,58,118.33,24731.39,209,123.38,510896101,58,297.1,63875.6,215,350.0,53.4,58,11.46,2463.78,215,6.96,17.70,58,98.51,806,794,58,59.52,210,125,58,29.68,155,46,58,21.05,95,20,58,11.90,84,10
3,Dustin Johnson,37,14,49,11,7,3,3471,5837267.0,311.0,59.1,10,69.3,1.704,54.2,14,213,529,110,4.347,63,49,178.74,27347.38,153,186.02,171.38,49,311.0,30477,98,49,2330.3,333235,143,3627,1571,49,119.56,17695.42,148,125.38,485895410,49,301.9,46195.9,153,390.6,50.5,49,10.80,1652.13,153,4.78,17.54,49,97.08,650,631,49,52.86,210,111,49,31.20,125,39,49,25.53,94,24,49,18.87,53,10
4,Collin Morikawa,24,21,80,19,7,2,2025,5250868.0,297.3,65.5,98,69.0,1.749,54.0,16,324,882,198,4.050,90,80,168.10,41858.08,249,173.52,158.96,80,297.3,42816,144,80,2303.3,550482,239,3204,1511,80,113.56,27709.77,244,117.74,485895306,80,283.1,70503.3,249,321.1,243.1,80,11.97,2980.47,249,6.77,15.26,80,96.53,1010,975,80,58.72,298,175,80,34.76,187,65,80,10.90,156,17,80,9.09,110,10
5,Webb Simpson,35,14,52,12,8,2,2163,5097742.0,296.2,67.3,107,70.8,1.691,56.3,5,243,583,93,4.673,187,52,167.49,65488.22,391,174.85,152.13,52,296.2,30800,104,52,2661.0,1003195,377,3991,1947,52,111.12,20223.51,182,114.95,483513316,52,280.9,109829.7,391,324.8,41.7,52,11.82,4619.88,391,5.21,17.30,52,96.70,696,673,52,59.36,219,130,52,37.78,135,51,52,26.53,98,26,52,16.67,78,13
6,Bryson DeChambeau,27,17,62,14,9,1,1682,4998495.0,322.1,57.4,1,68.5,1.726,62.9,7,274,690,132,4.419,159,62,184.73,66317.29,359,197.59,165.15,62,322.1,39945,124,62,2455.4,709604,289,3903,1500,62,125.00,23500.62,188,137.14,415876114,62,314.1,112767.6,359,400.1,50.6,62,12.32,4422.86,359,6.07,17.46,62,97.75,845,826,62,67.66,235,159,62,32.18,202,65,62,19.47,113,22,62,11.36,88,10
7,Daniel Berger,28,17,64,15,7,1,2007,4439420.0,300.2,63.9,71,66.9,1.728,59.8,5,280,715,139,4.375,230,64,173.78,77333.40,445,180.78,161.61,64,300.2,36025,120,64,2595.2,1043270,402,3881,1543,64,115.68,24640.16,213,120.89,465023115,64,276.4,123016.2,445,326.1,210.4,64,8.81,3921.52,445,-.29,14.40,64,97.50,760,741,64,64.26,235,151,64,40.67,150,61,64,18.18,110,20,64,12.12,66,8
8,Rory McIlroy,32,15,60,15,7,1,1516,4408415.0,314.0,56.3,4,67.8,1.738,45.2,13,252,657,145,4.200,83,60,178.24,37074.23,208,184.60,168.28,60,314.0,32660,104,60,2232.5,437566,196,3393,1616,60,118.88,22469.15,189,122.60,220240406,60,303.3,63080.8,208,366.2,249.6,60,12.65,2631.96,208,4.50,18.51,60,96.46,734,708,60,56.74,215,122,60,26.87,134,36,60,22.83,92,21,60,18.57,70,13
9,Sungjae Im,23,26,94,21,7,1,1650,4337811.0,300.5,64.5,69,67.1,1.734,58.8,6,390,1052,221,4.149,282,94,171.72,112474.81,655,180.03,149.90,94,300.5,49276,164,94,2785.0,1679355,603,3989,1504,94,115.51,35693.53,309,127.46,520688218,94,283.6,185783.9,655,340.6,58.8,94,9.33,6114.17,655,4.05,15.67,94,96.74,1135,1098,94,58.19,299,174,94,33.01,206,68,94,19.61,153,30,94,13.91,115,16
10,Patrick Reed,30,20,74,17,8,1,1485,4250060.0,296.0,56.1,110,65.3,1.700,60.6,8,313,821,168,4.230,167,74,173.63,42191.70,243,178.84,161.57,74,296.0,39073,132,74,2813.9,621875,221,3990,1508,74,117.24,27785.73,237,121.05,510896417,74,275.3,66893.8,243,318.3,48.9,74,7.78,1889.88,243,1.69,15.99,74,97.23,901,876,74,60.70,257,156,74,36.46,181,66,74,20.63,126,26,74,13.33,90,12
11,Xander Schauffele,27,18,70,17,7,0,1449,3813636.0,305.4,60.3,31,70.9,1.737,56.4,5,297,807,135,4.243,252,70,175.73,40769.96,232,180.80,163.17,70,305.4,37868,124,70,2484.4,531665,214,3414,1575,70,117.54,26681.56,227,120.87,520688318,70,288.4,66901.3,232,348.8,227.4,70,9.08,2107.49,232,4.48,14.05,70,97.99,844,827,70,63.64,253,161,70,30.17,179,54,70,20.97,124,26,70,17.65,85,15
12,Hideki Matsuyama,29,20,74,17,5,0,1587,3665825.0,304.4,57.0,34,68.5,1.755,55.0,12,299,836,168,4.041,111,74,172.99,42381.44,245,178.98,161.30,74,304.4,37744,124,74,2412.4,499366,207,3980,1522,74,115.63,27751.11,240,119.42,180510108,74,288.6,70697.1,245,350.9,238.9,74,10.57,2589.21,245,2.91,17.03,74,96.49,884,853,74,52.14,257,134,74,26.32,171,45,74,16.67,108,18,74,14.13,92,13
13,Tyrrell Hatton,29,11,42,10,6,1,1275,3434867.0,301.6,61.7,57,69.3,1.704,43.2,2,191,459,97,4.548,378,42,171.03,25825.95,151,175.62,162.79,42,301.6,20510,68,42,2439.1,334157,137,3659,1520,42,114.68,16628.55,145,119.56,520688101,42,284.4,42944.6,151,329.5,47.5,42,11.53,1741.08,151,6.63,15.12,42,97.67,472,461,42,59.56,136,81,42,31.58,95,30,42,20.00,65,13,42,15.79,57,9
14,Brendon Todd,36,25,86,18,4,2,1576,3390258.0,282.7,71.4,187,65.5,1.736,61.6,5,336,990,202,3.907,310,86,158.96,77093.84,485,164.64,150.81,86,282.7,48619,172,86,2330.6,1060412,455,3629,1540,86,107.29,30577.24,285,111.19,050729104,86,260.6,126381.2,485,302.5,9.4,86,11.59,5622.02,485,6.11,17.21,86,96.72,1036,1002,86,59.25,319,189,86,31.34,201,63,86,24.63,134,33,86,16.38,116,19
15,Harris English,32,20,76,18,6,0,1805,3299366.0,300.9,61.7,66,70.9,1.749,51.3,6,306,894,150,4.026,228,76,174.30,45143.48,259,179.58,168.23,76,300.9,45732,152,76,2794.5,681852,244,3678,1954,76,115.61,29480.70,255,118.92,050729417,76,285.4,73631.9,258,319.8,251.4,76,8.90,2306.24,259,5.23,12.25,76,97.44,938,914,76,62.67,292,183,76,31.07,177,55,76,21.85,119,26,76,6.94,72,5
16,Lanto Griffin,33,27,92,21,4,1,1392,3188586.0,302.5,57.2,42,65.5,1.753,54.5,9,356,1040,229,3.870,184,96,178.69,57538.23,322,185.69,160.93,96,302.5,55656,184,96,2653.8,777551,293,3828,1610,96,119.40,24118.81,202,125.08,415876417,96,284.0,91455.4,322,352.9,5.9,96,7.51,2417.60,322,-.03,15.06,96,96.51,1119,1080,96,60.18,329,198,96,35.19,216,76,96,19.59,148,29,96,12.50,104,13
17,Marc Leishman,37,18,61,13,3,1,1096,3109752.0,295.8,51.9,112,61.5,1.770,42.1,5,207,672,193,3.393,220,61,172.85,25409.19,147,177.82,160.38,61,295.8,31359,106,61,2451.8,343245,140,3285,1510,61,115.22,16360.77,142,120.42,520688104,61,274.9,40403.4,147,336.0,19.2,61,9.65,1419.00,147,3.96,16.02,61,96.14,751,722,61,47.84,232,111,61,35.00,120,42,61,20.79,101,21,61,11.90,84,10
18,Tony Finau,31,20,72,16,7,0,1237,2932286.0,309.8,51.8,13,68.8,1.730,47.7,8,302,801,163,4.194,162,72,180.63,39378.32,218,190.74,172.71,72,309.8,39655,128,72,2648.4,513787,194,3908,1573,72,122.05,26119.13,214,128.73,485895209,72,294.4,64183.9,218,350.3,168.8,72,9.64,2100.51,218,4.14,14.75,72,96.85,858,831,72,56.93,202,115,72,30.14,146,44,72,16.03,131,21,72,18.18,88,16
19,Joaquin Niemann,22,23,76,15,4,1,1366,2914136.0,301.7,56.5,54,69.3,1.767,51.4,6,298,848,196,3.921,228,76,176.78,36417.05,206,181.73,171.04,76,301.7,41034,136,76,2356.3,428850,182,3632,1519,76,118.27,23654.44,200,123.64,510896318,76,279.9,57661.9,206,334.8,13.5,76,8.24,1697.83,206,-1.94,14.67,76,96.60,940,908,76,56.18,267,150,76,27.72,202,56,76,18.12,138,25,76,11.11,90,10
20,Abraham Ancer,30,20,74,17,4,0,1159,2903306.0,297.5,64.4,94,67.0,1.743,49.2,6,281,866,163,3.797,222,74,167.78,79357.63,473,177.23,159.07,74,297.5,36896,124,74,2578.9,1116668,433,3973,1535,74,111.72,25249.37,226,114.95,240009104,74,272.3,128803.8,473,363.5,1.5,74,10.06,4757.68,473,-1.27,16.71,74,97.59,790,771,74,64.25,221,142,74,34.13,126,43,74,11.86,118,14,74,12.15,107,13
21,Sebastián Muñoz,28,26,84,16,5,1,1421,2864142.0,302.3,60.4,43,66.3,1.748,50.0,8,340,943,190,4.048,189,84,175.37,66116.23,377,184.55,168.62,84,302.3,50793,168,84,2673.1,890145,333,3843,1534,84,118.97,31170.52,262,122.72,485895110,84,285.5,107637.0,377,341.3,35.9,84,9.27,3494.38,377,4.33,13.66,84,96.84,1076,1042,84,60.11,361,217,84,29.74,232,69,84,16.67,126,21,84,12.26,106,13
22,Scottie Scheffler,25,23,82,18,7,0,1391,2833438.0,308.9,61.2,16,69.0,1.737,49.0,11,357,893,194,4.354,134,82,173.63,46533.69,268,181.20,167.42,82,308.9,50667,164,82,2624.7,656164,250,3805,1715,82,116.54,30533.57,262,121.17,520688418,82,285.8,76588.2,268,335.0,47.4,82,10.96,2937.77,268,4.27,16.75,82,95.75,1011,968,82,51.61,279,144,82,33.14,172,57,82,24.14,145,35,82,13.59,103,14
23,Kevin Na,37,21,71,15,4,1,1102,2794402.0,286.9,62.7,170,63.2,1.733,55.6,4,270,819,165,3.803,320,71,166.27,61019.98,367,174.38,156.28,71,286.9,36151,126,71,2774.4,923869,333,3938,1502,71,113.41,25857.38,228,128.40,485895212,71,271.3,99563.5,367,321.0,50.8,71,9.79,3592.68,367,3.95,16.03,71,96.97,792,768,71,64.31,269,173,71,39.07,151,59,71,18.10,105,19,71,13.95,86,12
24,Ryan Palmer,44,19,68,15,5,0,1116,2724926.0,299.3,60.1,80,65.9,1.742,50.0,7,271,750,179,3.985,175,68,171.42,37712.28,220,175.74,166.14,68,299.3,35910,120,68,2464.5,468264,190,3821,1690,68,114.54,24282.77,212,120.32,230734418,68,284.7,62639.4,220,327.0,232.6,68,11.11,2444.21,220,1.46,18.04,68,96.58,848,819,68,51.66,271,140,68,30.92,152,47,68,20.00,95,19,68,10.34,87,9
25,Kevin Streelman,42,23,73,13,4,0,944,2520845.0,293.9,65.9,129,67.7,1.763,52.9,8,279,808,195,3.822,164,73,168.16,78697.16,468,173.09,143.02,73,293.9,38213,130,73,2658.5,1097951,413,3800,1515,73,112.85,25391.55,225,120.63,230734314,73,279.0,130298.6,467,321.0,228.1,73,11.18,5233.15,468,6.89,16.34,73,96.02,829,796,73,58.41,226,132,73,31.16,138,43,73,22.81,114,26,73,8.82,102,9
26,Billy Horschel,34,22,79,17,6,0,953,2383908.0,299.3,62.8,79,66.2,1.738,50.0,7,310,876,209,3.924,203,79,170.51,40751.33,239,175.15,165.12,79,299.3,40107,134,79,2493.7,558585,224,3560,1773,79,113.67,26370.67,232,117.26,510896317,79,280.5,67035.7,239,339.6,33.2,79,11.82,2824.22,239,6.30,17.44,79,97.94,824,807,79,57.98,238,138,79,32.26,155,50,79,15.38,104,16,79,17.24,87,15
27,Cameron Smith,27,19,64,13,2,1,1059,2372487.0,299.8,54.5,73,64.1,1.736,57.5,8,247,703,170,3.859,144,64,169.25,70576.51,417,185.48,149.50,64,299.8,33578,112,64,2251.3,846490,376,3675,1523,64,112.31,20327.28,181,115.45,510896417,64,282.1,117634.9,417,334.3,218.3,64,11.36,4736.88,417,6.65,17.08,64,97.80,774,757,64,57.26,234,134,64,32.64,144,47,64,14.81,108,16,64,18.18,77,14
28,Cameron Champ,26,20,70,15,2,1,963,2290839.0,322.0,56.4,2,67.7,1.775,48.2,7,283,760,189,4.043,180,70,189.18,39349.92,208,195.05,182.02,70,322.0,45082,140,70,2772.7,438081,158,3884,1614,70,127.00,25781.78,203,132.00,050729317,70,300.8,62258.6,207,369.1,2.4,70,5.98,1243.42,208,-1.56,10.61,70,95.83,887,850,70,54.55,242,132,70,35.67,171,61,70,14.05,121,17,70,12.00,75,9
29,Byeong Hun An,29,22,75,15,5,0,943,2283951.0,305.7,54.3,29,65.8,1.756,50.7,7,287,839,194,3.827,193,75,171.35,88075.55,514,178.31,161.83,75,305.7,38518,126,75,2438.4,1092392,448,3790,1631,75,113.68,25464.95,224,120.84,180510213,75,286.9,147453.2,514,347.9,20.7,75,12.08,6206.95,514,4.61,18.06,75,95.14,885,842,75,54.85,237,130,75,33.14,172,57,75,14.52,124,18,75,8.05,87,7
30,Adam Scott,41,10,38,9,1,1,832,2272434.0,308.1,55.5,19,68.1,1.740,55.1,7,144,437,86,3.789,98,38,177.63,21137.73,119,188.74,169.50,38,308.1,18483,60,38,2719.1,290941,107,3645,1548,38,118.23,13478.15,114,122.28,030552118,38,288.1,34280.1,119,358.2,56.1,38,9.36,1114.05,119,4.53,12.85,38,96.96,428,415,38,61.11,108,66,38,27.27,88,24,38,15.15,66,10,38,19.57,46,9
31,Kevin Kisner,37,21,73,15,4,0,1169,2266752.0,289.2,65.2,161,65.4,1.743,50.9,4,277,844,173,3.795,329,73,165.94,72016.10,434,172.57,155.91,73,289.2,37600,130,73,2677.1,1102949,412,3903,1646,73,111.96,23399.25,209,117.02,405012205,73,273.4,118670.0,434,327.4,229.3,73,10.11,4388.81,434,4.48,15.96,73,97.67,772,754,73,61.97,213,132,73,36.59,164,60,73,17.86,112,20,73,13.58,81,11
32,Matthew Wolff,22,21,74,16,2,0,921,2224348.0,311.6,59.0,9,66.8,1.772,43.5,6,286,824,191,3.865,222,74,180.92,40887.73,226,186.51,174.40,74,311.6,41135,132,74,2387.2,529958,222,3247,1698,74,121.32,26811.72,221,127.30,240009212,74,303.8,68664.7,226,344.9,35.5,74,10.30,2328.29,226,4.50,15.13,74,97.14,909,883,74,58.63,249,146,74,30.68,176,54,74,17.70,113,20,74,11.90,84,10
33,Gary Woodland,37,17,62,14,6,0,801,2195131.0,305.4,60.0,30,68.2,1.753,47.6,6,252,698,139,4.065,186,62,180.69,27645.93,153,187.17,173.58,62,305.4,32983,108,62,2645.6,357154,135,3960,1653,62,121.59,18116.81,149,127.45,500700109,62,293.4,44882.7,153,337.4,249.5,62,9.23,1412.72,153,3.94,13.36,62,97.41,734,715,62,56.39,227,128,62,32.89,152,50,62,25.45,110,28,62,8.45,71,6
34,Adam Long,33,25,88,18,3,0,950,2186913.0,292.0,62.5,142,67.7,1.756,45.2,12,333,999,218,3.784,132,88,166.02,42998.10,259,171.92,158.14,88,292.0,46713,160,88,2478.2,607148,245,3912,1534,88,110.52,28071.59,254,114.23,470883418,88,279.6,72427.9,259,316.9,239.9,88,13.90,3599.32,259,8.97,18.24,88,97.32,1006,979,88,58.78,279,164,88,32.14,196,63,88,18.18,121,22,88,9.62,104,10
35,Joel Dahmen,33,22,79,18,5,0,843,2120973.0,295.4,64.6,115,63.9,1.747,50.7,10,291,892,208,3.684,142,79,167.57,91493.83,546,173.33,151.25,79,295.4,41944,142,79,2612.2,1274760,488,3949,1544,79,111.79,24929.19,223,117.37,485895306,79,274.7,150005.0,546,328.9,222.5,79,10.69,5838.56,546,3.42,15.83,79,96.90,902,874,79,52.43,267,140,79,30.73,179,55,79,13.89,108,15,79,22.50,80,18
36,Patrick Cantlay,29,12,46,11,3,0,922,2118336.0,303.1,59.4,40,68.4,1.723,55.4,7,191,508,112,4.152,118,46,174.44,61576.91,353,178.94,165.65,46,303.1,27884,92,46,2416.8,797557,330,3249,1570,46,115.79,16210.12,140,120.03,500700114,46,288.4,101525.3,352,327.5,209.8,46,10.34,3650.75,353,3.93,14.68,46,97.25,618,601,46,57.37,190,109,46,31.48,108,34,46,23.08,78,18,46,12.68,71,9
37,Matt Fitzpatrick,26,15,54,12,5,0,887,2109709.0,294.7,64.6,121,66.0,1.734,47.2,7,198,617,134,3.667,139,54,168.40,70222.12,417,177.99,153.88,54,294.7,27114,92,54,2609.4,1004602,385,3785,1595,54,112.43,17988.75,160,118.30,483513316,54,273.1,113899.4,417,343.8,52.4,54,9.24,3851.25,417,-3.82,19.18,54,97.80,592,579,54,64.97,177,115,54,33.33,132,44,54,20.69,87,18,54,17.74,62,11
39,Mackenzie Hughes,30,22,70,12,4,0,980,2079951.0,298.7,55.8,83,63.4,1.735,54.4,5,260,797,172,3.714,252,70,171.65,43427.18,253,177.83,165.68,70,298.7,41821,140,70,2656.2,632165,238,3979,1767,70,115.14,28554.16,248,120.62,520688304,70,285.3,72192.3,253,333.2,247.4,70,11.29,2857.15,253,7.24,15.25,70,97.41,851,829,70,63.64,231,147,70,37.04,162,60,70,17.74,124,22,70,15.48,84,13
40,Danny Lee,30,22,69,13,3,0,777,2043764.0,302.0,57.1,48,65.6,1.750,53.1,6,280,743,188,4.058,207,69,170.50,36486.72,214,176.65,161.01,69,302.0,36840,122,69,2363.1,465537,197,3793,1550,69,114.40,23909.51,209,119.89,040538103,69,287.2,61456.8,214,325.4,239.1,69,13.29,2843.24,214,3.19,18.49,69,95.85,772,740,69,54.89,266,146,69,35.71,140,50,69,20.35,113,23,69,12.33,73,9
