RK,PLAYER,AGE,EVENTS,ROUNDS,CUTS MADE,TOP 10,WINS,CUP POINTS,EARNINGS,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.,EAGLES,BIRDIES,PARS,BOGEYS,BIRDIES/RD,HOLES/EAGLE,BALL_SPEED_ROUNDS,BALL_SPEED_AVG,TOTAL BALL SPEED,BALL_SPEED_TOTAL ATTEMPTS,BALL_SPEED_FASTEST SPEED,BALL_SPEED_SLOWEST SPEED,DRIVING_DISTANCE_ROUNDS,DRIVING_DISTANCE_AVG,TOTAL DISTANCE,TOTAL DRIVES,SPIN_RATE_ROUNDS,SPIN_RATE_AVG,TOTAL SPIN SPEED,SPIN_RATE_TOTAL ATTEMPTS,HIGHEST SPIN RATE,LOWEST SPIN RATE,CLUB_HEAD_SPEED_ROUNDS,CLUB_HEAD_SPEED_AVG,TOTAL CLUB HEAD SPEED,CLUB_HEAD_SPEED_TOTAL ATTEMPTS,CLUB_HEAD_SPEED_FASTEST SPEED,CLUB_HEAD_SPEED_SLOWEST SPEED,CARRY_DISTANCE_ROUNDS,CARRY_DISTANCE_AVG,TOTAL DIST. TO IMPACT,CARRY_DISTANCE_TOTAL ATTEMPTS,LONGEST CARRY DISTANCE,SHORTEST CARRY DISTANCE,LAUNCH_ANGLE_ROUNDS,LAUNCH_ANGLE_AVG,TOTAL VERT. LAUNCH ANGLE,LAUNCH_ANGLE_TOTAL ATTEMPTS,LOWEST LAUNCH ANGLE,STEEPEST LAUNCH ANGLE,PUTTING FROM INSIDE INSIDE 5'_ROUNDS,PUTTING FROM INSIDE INSIDE 5'_%,PUTTING FROM INSIDE INSIDE 5'_ATTEMPTS,PUTTING FROM INSIDE INSIDE 5'_PUTTS_MADE,PUTTING FROM 5-10'_ROUNDS,PUTTING FROM 5-10'_%,PUTTING FROM 5-10'_ATTEMPTS,PUTTING FROM 5-10'_PUTTS_MADE,PUTTING FROM - 10-15'_ROUNDS,PUTTING FROM - 10-15'_% MADE,PUTTING FROM - 10-15'_ATTEMPTS,PUTTING FROM - 10-15'_PUTTS_MADE,PUTTING FROM - 15-20'_ROUNDS,PUTTING FROM - 15-20'_% MADE,PUTTING FROM - 15-20'_ATTEMPTS,PUTTING FROM - 15-20'_PUTTS_MADE,PUTTING FROM - 20-25'_ROUNDS,PUTTING FROM - 20-25'_% MADE,PUTTING FROM - 20-25'_ATTEMPTS,PUTTING FROM - 20-25'_PUTTS_MADE
41,Viktor Hovland,23,20,74,17,3,1,1009,1982275.0,299.3,63.2,77,68.5,1.726,45.5,14,294,820,179,3.973,95,74,168.99,98687.70,584,176.06,159.69,74,299.3,39512,132,74,2488.9,1406214,565,3982,1502,74,113.14,27154.70,240,118.98,510896202,74,283.7,165705.2,584,333.1,230.6,74,12.01,7015.74,584,7.18,16.27,74,97.03,809,785,74,58.96,251,148,74,30.82,159,49,74,17.74,124,22,74,14.66,116,17
42,Jason Day,33,17,53,10,5,0,666,1943898.0,299.7,55.9,74,64.8,1.746,65.5,5,199,609,126,3.755,191,53,174.07,24892.48,143,178.57,164.51,53,299.7,26976,90,53,2410.4,339866,141,3458,1518,53,117.58,16226.39,138,122.69,510896118,53,289.9,41455.8,143,319.9,260.4,53,10.66,1524.51,143,6.50,16.02,53,97.20,571,555,53,54.25,153,83,53,36.04,111,40,53,22.67,75,17,53,8.93,56,5
43,Nick Taylor,33,18,59,11,2,1,741,1897539.0,296.6,64.2,101,66.9,1.757,46.3,10,210,673,153,3.559,106,59,165.42,58887.74,356,170.05,159.20,59,296.6,34999,118,59,2560.5,896163,350,3459,1529,59,110.18,18620.10,169,115.93,030552413,59,279.6,99548.4,356,308.0,235.3,59,12.03,4282.28,356,6.52,16.82,59,97.31,706,687,59,56.58,228,129,59,27.82,133,37,59,20.45,88,18,59,13.89,72,10
44,Paul Casey,44,15,56,13,1,0,730,1868952.0,307.2,63.6,23,70.6,1.774,47.5,6,204,660,122,3.643,168,56,175.12,28019.25,160,180.52,170.11,56,307.2,29490,96,56,2465.3,379656,154,3943,1557,56,116.35,18034.74,155,120.74,160704316,56,287.9,46070.0,160,335.1,47.1,56,10.18,1629.25,160,6.00,15.54,56,96.31,651,627,56,54.89,184,101,56,28.81,118,34,56,9.76,82,8,56,11.84,76,9
45,Tom Hoge,32,24,74,13,3,0,728,1857073.0,290.4,60.6,151,65.6,1.768,43.3,3,279,835,197,3.770,444,74,167.51,38861.19,232,171.74,162.10,74,290.4,42976,148,74,2503.1,543170,217,3357,1676,74,111.97,24969.27,223,117.49,510896118,74,274.3,63640.8,232,307.6,242.8,74,10.94,2538.91,232,6.83,14.53,74,96.89,933,904,74,60.14,281,169,74,26.92,182,49,74,18.75,128,24,74,14.02,107,15
46,Mark Hubbard,32,24,86,19,3,0,792,1840473.0,290.1,62.8,155,66.7,1.734,47.3,13,322,988,198,3.744,119,86,166.58,78794.19,473,173.04,159.04,86,290.1,49893,172,86,2943.6,1215724,413,3922,1556,86,112.40,32370.53,288,119.97,180510313,86,268.2,126840.1,473,1301.5,4.2,86,8.69,4111.23,473,2.01,12.94,86,97.35,1020,993,86,59.54,304,181,86,36.08,194,70,86,23.40,141,33,86,12.15,107,13
47,Tyler Duncan,32,25,83,16,1,1,834,1799855.0,286.3,69.9,173,67.5,1.763,43.0,7,307,946,210,3.699,213,83,163.84,84049.34,513,176.19,154.84,83,286.3,47519,166,83,2560.6,1241887,485,3890,1699,83,109.42,26918.12,246,120.85,510896118,83,269.0,138000.5,513,313.6,227.3,83,10.86,5573.00,513,6.19,14.94,83,95.80,1000,958,83,58.44,308,180,83,29.89,174,52,83,16.79,131,22,83,18.49,119,22
48,Brendan Steele,38,20,64,14,3,0,761,1739131.0,303.6,59.9,38,68.1,1.762,49.5,5,247,722,159,3.859,230,68,173.28,58567.06,338,179.77,163.33,68,303.6,38859,128,68,2551.9,785988,308,3921,1665,68,117.11,20728.90,177,124.68,410503413,68,288.8,97621.8,338,333.8,34.4,68,10.14,3427.92,338,2.79,14.48,68,96.86,795,770,68,55.65,230,128,68,33.77,151,51,68,24.73,93,23,68,8.79,91,8
49,Richy Werenski,29,17,56,12,3,1,836,1716407.0,298.1,58.0,87,66.7,1.729,50.9,4,218,632,139,3.893,252,60,168.47,30998.64,184,173.61,162.27,60,298.1,33391,112,60,2379.1,378276,159,3539,1510,60,111.62,20091.75,180,115.01,510896201,60,278.3,51201.3,184,317.5,229.6,60,11.12,2046.04,184,6.61,15.22,60,97.40,693,675,60,54.55,187,102,60,35.16,128,45,60,20.91,110,23,60,13.16,76,10
50,Adam Hadwin,33,17,65,15,3,0,692,1710808.0,294.0,64.5,128,68.3,1.755,65.0,9,237,746,160,3.646,130,65,168.10,82199.06,489,176.70,152.68,65,294.0,33511,114,65,2811.7,1313057,467,3885,1971,65,111.91,22941.02,205,116.15,485895306,65,280.8,137335.5,489,322.4,35.1,65,10.99,5376.17,489,5.26,15.74,65,96.24,772,743,65,60.95,210,128,65,33.33,135,45,65,19.47,113,22,65,16.87,83,14
51,Carlos Ortiz,30,22,72,14,3,0,721,1631474.0,300.3,55.4,70,66.7,1.760,48.7,12,267,828,170,3.708,108,72,174.54,77668.98,445,180.93,151.70,72,300.3,43247,144,72,2713.3,1031045,380,3980,1527,72,116.42,24564.34,211,131.60,050729304,72,284.8,126730.3,445,348.9,39.1,72,9.13,4062.46,445,-10.67,14.98,72,97.64,932,910,72,54.58,251,137,72,26.95,167,45,72,24.43,131,32,72,10.87,92,10
52,Michael Thompson,36,20,62,10,2,1,662,1577832.0,288.4,65.4,165,65.0,1.772,57.1,4,213,727,151,3.435,279,62,164.44,37821.60,230,169.22,157.32,62,288.4,35759,124,62,2662.3,569723,214,3958,1663,62,109.83,24602.99,224,116.23,470883418,62,272.0,62560.8,230,304.3,232.4,62,11.27,2592.25,230,7.30,15.27,62,97.39,805,784,62,58.41,226,132,62,29.79,141,42,62,20.19,104,21,62,13.19,91,12
53,Bubba Watson,42,20,66,13,3,0,768,1565323.0,311.0,57.9,11,67.7,1.766,45.4,9,242,753,171,3.667,132,66,180.69,89620.17,496,187.98,158.11,66,311.0,36072,116,66,2745.4,1172293,427,3991,1525,66,121.88,17794.66,146,126.51,180510103,66,293.2,145432.1,496,369.5,21.1,66,8.61,4272.99,496,1.00,18.79,66,96.32,816,786,66,57.66,222,128,66,32.52,163,53,66,19.47,113,22,66,10.26,78,8
54,Sung Kang,34,22,73,14,2,0,512,1560024.0,303.4,55.6,39,65.3,1.786,44.4,6,266,791,219,3.644,219,73,172.19,33921.10,197,178.75,164.53,73,303.4,39444,130,73,2404.2,411117,171,3648,1502,73,114.58,21999.04,192,118.32,445893117,73,286.6,56469.8,197,353.7,36.3,73,12.55,2472.54,197,5.92,18.85,73,96.34,901,868,73,51.48,270,139,73,31.82,154,49,73,20.00,115,23,73,6.06,99,6
55,Matt Kuchar,43,16,56,12,1,0,646,1515585.0,282.9,65.8,186,65.0,1.734,58.4,5,212,640,135,3.786,202,56,163.14,67867.19,416,169.43,154.96,56,282.9,31681,112,56,2549.0,917650,360,3857,1519,56,108.98,17655.23,162,119.80,510896203,56,271.0,112743.1,416,320.5,215.6,56,10.93,4545.96,416,5.93,16.61,56,97.96,687,673,56,62.43,181,113,56,34.35,131,45,56,22.92,96,22,56,11.11,72,8
56,Andrew Landry,33,21,63,10,1,1,647,1510275.0,289.7,65.7,158,64.1,1.765,46.2,2,229,709,172,3.635,567,63,163.74,75156.37,459,172.13,158.25,63,289.7,36505,126,63,2438.9,1034092,424,3638,1557,63,108.78,24040.93,221,113.61,180510314,63,273.1,125373.1,459,921.7,225.0,63,11.31,5192.78,459,7.25,16.04,63,97.36,834,812,63,50.50,202,102,63,24.29,140,34,63,12.50,120,15,63,12.84,109,14
57,Dylan Frittelli,31,24,82,17,3,0,664,1507497.0,291.3,60.8,146,65.8,1.775,50.7,8,308,920,215,3.756,185,82,170.78,40474.41,237,182.21,164.00,82,291.3,43119,148,82,2858.6,626026,219,3919,1553,82,113.44,26317.50,232,119.70,485895204,82,283.2,66843.6,236,331.8,241.0,82,9.75,2311.19,237,4.51,14.51,82,96.16,989,951,82,54.55,264,144,82,32.53,166,54,82,21.01,119,25,82,15.00,120,18
58,Corey Conners,29,22,74,15,1,0,695,1498121.0,298.7,67.1,82,71.5,1.800,44.4,8,276,843,185,3.730,167,74,174.09,35688.92,205,178.34,168.30,74,298.7,37043,124,74,3088.7,568313,184,3997,1759,74,115.43,23085.51,200,119.12,510896418,74,283.6,58131.9,205,332.7,34.7,74,9.77,2002.87,205,5.29,14.17,74,95.45,923,881,74,54.44,248,135,74,24.46,184,45,74,20.66,121,25,74,7.69,104,8
59,Jason Kokrak,36,20,62,11,3,0,827,1494604.0,312.4,57.6,7,68.6,1.803,43.8,4,227,710,157,3.661,279,62,176.47,70940.65,402,185.70,166.66,62,312.4,33743,108,62,2296.9,859039,374,3313,1651,62,117.80,22382.58,190,124.10,510896217,62,297.0,119391.1,402,353.4,22.1,62,12.82,5152.82,402,5.79,18.41,62,97.42,737,718,62,54.98,211,116,62,24.84,157,39,62,13.08,107,14,62,10.26,78,8
60,Phil Mickelson,51,16,51,0,2,0,488,1493908.0,301.5,54.0,60,63.5,1.748,56.6,7,192,572,127,3.765,131,51,174.02,22622.65,130,179.39,167.34,51,301.5,25929,86,51,2553.2,278304,109,3995,1574,51,117.09,14636.16,125,122.23,160704308,51,290.1,37715.7,130,332.7,229.7,51,11.86,1541.18,130,5.75,19.07,51,98.53,544,536,51,51.27,158,81,51,29.59,98,29,51,19.48,77,15,51,13.43,67,9
61,Brian Harman,34,22,78,17,1,0,860,1482583.0,293.0,63.3,138,65.7,1.717,61.0,8,310,894,168,3.974,176,78,163.95,98372.24,600,169.98,152.26,78,293.0,45715,156,78,2424.9,1338544,552,3676,1526,78,109.81,31076.44,283,114.97,490752415,78,271.8,163073.3,600,319.2,135.1,78,11.89,7133.44,600,6.60,16.57,78,98.20,1002,984,78,56.29,286,161,78,34.00,200,68,78,18.10,116,21,78,12.90,93,12
62,Max Homa,30,21,70,14,4,0,540,1453056.0,300.6,58.9,68,64.6,1.764,49.0,6,256,802,173,3.657,210,70,177.60,37473.60,211,182.72,167.54,70,300.6,37270,124,70,2891.6,595662,206,3944,1527,70,118.68,24330.00,205,123.98,180510213,70,290.4,61266.3,211,325.9,249.9,70,8.91,1880.32,211,4.62,13.69,70,98.16,816,801,70,53.42,234,125,70,34.27,143,49,70,15.65,115,18,70,11.39,79,9
63,Talor Gooch,29,24,83,18,2,0,648,1398171.0,298.2,58.3,85,67.1,1.745,51.0,6,318,941,200,3.831,249,83,175.21,38195.58,218,181.64,164.62,83,298.2,49505,166,83,2590.7,528499,204,3981,1686,83,118.28,25548.57,216,123.95,050729413,83,284.0,61902.2,218,323.8,248.9,83,8.91,1943.01,218,2.43,14.58,83,97.19,1068,1038,83,59.87,299,179,83,27.18,195,53,83,20.55,146,30,83,15.04,113,17
64,Jim Herman,43,21,60,9,1,1,619,1390275.0,285.6,69.3,176,64.2,1.824,42.0,4,192,662,199,3.200,270,60,167.67,47450.89,283,173.82,152.07,60,285.6,34266,120,60,2475.0,641033,259,3321,1597,60,112.98,19772.03,175,123.43,050729315,60,267.7,75746.7,283,301.2,184.8,60,9.22,2609.42,283,1.21,14.75,60,97.10,759,737,60,49.26,203,100,60,32.19,146,47,60,17.92,106,19,60,12.36,89,11
65,Charles Howell III,42,20,69,14,3,0,551,1371807.0,301.1,54.6,62,68.8,1.768,50.5,8,253,791,173,3.667,155,69,175.25,63090.36,360,184.86,166.33,69,301.1,34324,114,69,2657.2,895460,337,3936,1855,69,116.85,19982.15,171,122.95,510896202,69,286.8,103237.2,360,360.8,238.1,69,8.44,3037.16,360,3.17,14.63,69,96.67,720,696,69,57.87,197,114,69,28.68,136,39,69,20.00,85,17,69,14.47,76,11
66,Louis Oosthuizen,38,13,48,11,2,0,611,1312138.0,300.1,60.6,72,65.3,1.757,43.2,4,172,543,127,3.583,216,48,169.23,61937.94,366,175.50,154.17,48,300.1,24008,80,48,2529.6,865139,342,3846,1576,48,112.41,15513.02,138,120.46,485895104,48,281.1,102889.2,366,342.1,47.5,48,11.18,4092.56,366,5.86,16.57,48,97.28,551,536,48,62.50,176,110,48,30.19,106,32,48,23.46,81,19,48,14.29,63,9
67,Maverick McNealy,25,23,76,17,3,0,575,1293984.0,296.6,58.2,102,65.9,1.736,61.4,6,308,849,180,4.053,228,80,172.49,60024.85,348,178.46,157.57,80,296.6,45079,152,80,2363.2,775116,328,3086,1505,80,115.23,24083.56,209,121.13,395021403,80,274.5,94983.9,346,333.4,52.6,80,8.61,2996.78,348,-25.01,15.32,80,97.69,779,761,80,59.75,241,144,80,30.43,161,49,80,27.05,122,33,80,17.07,82,14
68,J.T. Poston,28,23,78,16,2,0,576,1282929.0,290.2,63.7,153,64.7,1.711,57.2,6,303,881,192,3.885,234,78,169.21,80036.28,473,176.36,162.78,78,290.2,40628,140,78,2642.6,1165365,441,3885,1623,78,113.05,23854.49,211,117.71,230734118,78,279.7,132317.0,473,315.4,239.6,78,10.67,5046.03,473,6.52,14.65,78,95.93,885,849,78,65.40,237,155,78,35.33,167,59,78,22.76,123,28,78,18.09,94,17
69,Alex Noren,39,17,56,13,4,0,706,1274003.0,296.0,58.1,109,64.8,1.740,58.6,8,217,634,139,3.875,126,60,174.72,64122.73,367,180.87,163.82,60,296.0,33153,112,60,2981.2,974841,327,3998,1554,60,117.89,17801.20,151,124.53,470883418,60,285.3,104716.8,367,321.1,243.1,60,9.67,3548.57,367,1.10,17.50,60,97.20,643,625,60,58.96,173,102,60,35.58,104,37,60,15.15,66,10,60,14.52,62,9
70,Harry Higgs,29,25,83,16,2,0,684,1251570.0,301.0,62.2,63,66.1,1.752,48.6,7,304,957,195,3.663,213,83,171.51,46135.35,269,179.17,157.31,83,301.0,49974,166,83,2471.1,620240,251,3638,1571,83,116.60,30900.24,265,122.18,240009112,83,285.7,76849.8,269,333.0,240.8,83,9.77,2627.47,269,4.65,15.50,83,97.15,982,954,83,53.29,289,154,83,31.00,200,62,83,22.39,134,30,83,9.78,92,9
71,Xinjun Zhang,34,25,77,13,3,0,474,1232376.0,293.8,59.5,130,66.0,1.755,50.0,4,316,824,220,4.104,347,77,170.40,37827.70,222,175.99,159.11,77,293.8,42894,146,77,2602.1,567247,218,3703,1605,77,116.22,25335.95,218,120.67,050729113,77,279.5,62049.0,222,311.1,235.1,77,8.99,1995.33,222,3.51,15.94,77,95.69,859,822,77,50.43,234,118,77,32.43,148,48,77,19.01,121,23,77,17.50,80,14
72,Robby Shelton,25,24,71,13,3,0,597,1232306.0,296.6,61.2,103,66.9,1.773,46.5,6,265,779,204,3.732,213,75,166.64,36493.32,219,173.81,159.93,75,296.6,42111,142,75,2204.1,443020,201,3629,1554,75,110.69,23799.26,215,116.57,410503106,75,274.4,60087.3,219,312.5,237.5,75,11.40,2496.55,219,6.22,15.57,75,96.73,826,799,75,51.27,236,121,75,31.45,159,50,75,17.59,108,19,75,6.76,74,5
73,Russell Henley,32,20,63,13,4,0,682,1195378.0,290.1,65.6,156,71.7,1.781,55.7,5,227,766,113,3.603,227,67,165.44,36728.22,222,170.00,155.49,67,290.1,36549,126,67,2576.4,523011,203,3780,1716,67,109.87,23730.99,216,115.06,510896315,67,271.4,60241.1,222,307.1,232.0,67,10.12,2247.29,222,3.97,14.13,67,96.45,844,814,67,54.35,230,125,67,25.97,154,40,67,19.38,129,25,67,9.52,84,8
74,Denny McCarthy,28,23,77,18,4,0,511,1178557.0,293.8,61.6,132,67.5,1.719,49.6,7,325,835,196,4.221,198,81,169.81,73525.89,433,174.84,159.07,81,293.8,45240,154,81,2532.6,1000381,395,3863,1529,81,112.86,23023.88,204,117.08,465023115,81,277.0,119958.0,433,309.6,65.8,81,11.08,4799.12,433,5.28,15.30,81,97.87,891,872,81,64.75,244,158,81,32.93,164,54,81,25.93,135,35,81,13.08,107,14
75,Henrik Norlander,34,23,74,14,3,0,483,1175431.0,292.1,69.6,141,70.6,1.765,44.0,8,284,838,185,3.838,167,74,167.94,29390.07,175,171.42,162.61,74,292.1,43229,148,74,2446.9,401296,164,3605,1611,74,112.99,19321.41,171,115.85,415876117,74,275.1,48148.1,175,303.4,195.1,74,8.86,1550.46,175,.35,13.07,74,96.63,801,774,74,58.65,237,139,74,30.20,149,45,74,19.33,119,23,74,10.23,88,9
76,Vaughn Taylor,45,19,61,11,2,0,442,1148779.0,281.6,67.8,189,63.8,1.720,47.0,3,237,682,151,3.885,366,61,160.63,47707.71,297,168.85,154.99,61,281.6,29852,106,61,2472.7,660217,267,3700,1526,61,107.20,18331.90,171,111.90,410503110,61,265.5,78841.8,297,296.9,216.5,61,13.13,3899.95,297,8.55,16.48,61,97.10,620,602,61,58.10,179,104,61,31.09,119,37,61,18.18,99,18,61,21.28,47,10
77,Sepp Straka,28,25,70,10,3,0,466,1140441.0,302.7,60.2,41,67.0,1.777,51.8,6,259,799,163,3.700,210,70,171.14,35597.85,208,176.71,162.59,70,302.7,42381,140,70,2128.1,355396,167,3871,1532,70,113.52,23158.37,204,119.45,405012405,70,287.7,59839.6,208,320.3,215.4,70,11.71,2436.60,208,5.94,15.52,70,96.92,878,851,70,57.42,256,147,70,34.36,163,56,70,18.58,113,21,70,16.09,87,14
78,Jordan Spieth,27,17,62,14,3,0,354,1138146.0,301.6,52.1,56,62.4,1.724,49.1,7,240,671,175,3.871,159,62,172.47,71231.79,413,182.11,162.30,62,301.6,30162,100,62,2385.7,887471,372,3352,1542,62,114.05,17221.63,151,117.95,220240104,62,285.6,117937.8,413,472.0,35.2,62,10.84,4475.93,413,5.67,15.73,62,95.59,680,650,62,51.85,189,98,62,38.33,120,46,62,16.30,92,15,62,18.33,60,11
79,Doc Redman,23,24,82,17,1,0,514,1129549.0,297.4,68.3,96,70.8,1.752,55.0,7,323,935,192,3.939,211,82,170.08,43199.17,254,173.74,164.57,82,297.4,48773,164,82,2611.2,647589,248,3916,1649,82,114.74,28569.37,249,120.38,485895404,82,280.5,71251.9,254,325.1,246.5,82,9.40,2387.64,254,6.22,14.17,82,96.01,1002,962,82,55.67,282,157,82,30.20,202,61,82,21.43,154,33,82,14.66,116,17
80,Chez Reavie,39,22,77,16,2,0,429,1123769.0,284.4,69.7,180,67.2,1.778,56.7,7,262,914,182,3.403,198,77,160.99,74055.75,460,190.12,149.53,77,284.4,36976,130,77,2193.2,914578,417,3659,1507,77,107.83,21890.39,203,132.00,485895215,77,267.7,123137.3,460,665.4,207.5,77,12.19,5606.19,460,6.87,15.89,77,96.31,841,810,77,55.02,209,115,77,32.52,163,53,77,14.58,96,14,77,5.00,100,5
81,Brooks Koepka,31,13,40,8,2,0,360,1123227.0,307.0,53.8,25,66.8,1.748,43.8,4,156,428,111,3.900,180,40,178.91,23616.50,132,185.26,171.56,40,307.0,23332,76,40,2601.6,325202,125,3635,1702,40,120.03,15243.19,127,125.75,040538209,40,296.5,39133.6,132,332.4,257.6,40,10.25,1353.41,132,6.47,13.92,40,96.16,547,526,40,57.69,156,90,40,26.55,113,30,40,18.46,65,12,40,14.52,62,9
82,Si Woo Kim,26,24,74,15,1,0,454,1074246.0,298.1,57.0,88,65.5,1.750,49.3,3,288,822,193,3.892,444,78,169.47,40672.21,240,176.67,162.04,78,298.1,39348,132,78,2468.7,540651,219,3890,1842,78,113.47,26665.52,235,117.92,040538316,78,276.0,66236.8,240,313.2,213.9,78,9.40,2256.71,240,.04,15.76,78,95.91,855,820,78,57.66,248,143,78,33.71,175,59,78,15.87,126,20,78,11.11,81,9
83,Harold Varner III,30,22,74,14,1,0,457,1060152.0,301.9,61.7,49,70.6,1.754,44.0,4,297,842,166,4.014,333,74,169.98,75981.45,447,175.62,146.17,74,301.9,39856,132,74,2070.9,704120,340,3646,1503,74,113.01,22488.09,199,117.16,030552309,74,282.8,126423.2,447,321.8,4.6,74,12.28,5488.79,447,-.08,16.43,74,96.74,829,802,74,56.58,228,129,74,31.29,163,51,74,11.93,109,13,74,11.24,89,10
