PLAYER,PUTTING FROM - 15-20'_ROUNDS,PUTTING FROM - 15-20'_% MADE,PUTTING FROM - 15-20'_ATTEMPTS,PUTTING FROM - 15-20'_PUTTS_MADE
Anirban Lahiri,35,31.91,47,15
Vincent Whaley,40,31.82,44,14
Ian Poulter,48,31.08,74,23
Peter Malnati,61,30.95,84,26
Zack Sucher,38,28.95,38,11
Dominic Bozzelli,38,28.95,38,11
J.J. Spaun,62,27.66,94,26
Kevin Chappell,41,27.40,73,20
Andrew Putnam,46,27.27,55,15
Maverick McNealy,80,27.05,122,33
Branden Grace,43,26.79,56,15
Chris Stroud,48,26.56,64,17
Webb Simpson,52,26.53,98,26
Brandon Hagy,50,26.03,73,19
Denny McCarthy,81,25.93,135,35
Dustin Johnson,49,25.53,94,24
Gary Woodland,62,25.45,110,28
Brendan Steele,68,24.73,93,23
Patton Kizzire,55,24.72,89,22
David Hearn,55,24.69,81,20
Brendon Todd,86,24.63,134,33
Justin Rose,38,24.56,57,14
Carlos Ortiz,72,24.43,131,32
Chesson Hadley,62,24.24,99,24
Scottie Scheffler,82,24.14,145,35
Austin Cook,64,24.05,79,19
Troy Merritt,72,23.53,119,28
Louis Oosthuizen,48,23.46,81,19
Cam Davis,62,23.46,81,19
Roger Sloan,55,23.44,64,15
Mark Hubbard,86,23.40,141,33
"Ted Potter, Jr.",46,23.33,60,14
Stewart Cink,51,23.23,99,23
Patrick Cantlay,46,23.08,78,18
Matt Kuchar,56,22.92,96,22
Nelson Ledesma,42,22.86,35,8
Rory McIlroy,60,22.83,92,21
Kevin Streelman,73,22.81,114,26
Sam Ryder,74,22.76,123,28
J.T. Poston,78,22.76,123,28
Jason Day,53,22.67,75,17
Jim Furyk,39,22.50,80,18
Scott Harrington,68,22.45,98,22
Martin Trainer,48,22.41,58,13
Harry Higgs,83,22.39,134,30
Brian Gay,67,22.34,94,21
Matt Wallace,44,21.95,82,18
Wyndham Clark,65,21.92,73,16
Harris English,76,21.85,119,26
Justin Thomas,66,21.67,120,26
Peter Uihlein,47,21.62,74,16
Rafa Cabrera Bello,53,21.52,79,17
Cameron Percy,49,21.43,56,12
Grayson Murray,36,21.43,56,12
Beau Hossler,71,21.43,98,21
Doc Redman,82,21.43,154,33
Tim Wilkinson,50,21.31,61,13
Tommy Fleetwood,40,21.28,47,10
Nick Watney,46,21.05,76,16
Jon Rahm,58,21.05,95,20
Dylan Frittelli,82,21.01,119,25
Xander Schauffele,70,20.97,124,26
Kris Ventura,48,20.93,43,9
Brian Stuard,83,20.91,110,23
Richy Werenski,60,20.91,110,23
Fabián Gómez,59,20.83,72,15
Marc Leishman,61,20.79,101,21
Matt Fitzpatrick,54,20.69,87,18
Corey Conners,74,20.66,121,25
Graeme McDowell,48,20.63,63,13
Patrick Reed,74,20.63,126,26
Talor Gooch,83,20.55,146,30
Nick Taylor,59,20.45,88,18
Bronson Burgoon,55,20.45,88,18
Josh Teater,43,20.41,49,10
Adam Schenk,78,20.39,103,21
Danny Lee,69,20.35,113,23
Kramer Hickok,51,20.31,64,13
Aaron Wise,49,20.31,64,13
Michael Thompson,62,20.19,104,21
Tyrrell Hatton,42,20.00,65,13
Sung Kang,73,20.00,115,23
Ryan Palmer,68,20.00,95,19
Charles Howell III,69,20.00,85,17
Cameron Tringale,63,19.80,101,20
Sebastian Cappelen,55,19.67,61,12
Martin Laird,39,19.64,56,11
Sungjae Im,94,19.61,153,30
Brice Garnett,58,19.59,97,19
Lanto Griffin,96,19.59,148,29
Rory Sabbatini,66,19.57,92,18
Phil Mickelson,51,19.48,77,15
Bubba Watson,66,19.47,113,22
Adam Hadwin,65,19.47,113,22
Bryson DeChambeau,62,19.47,113,22
Russell Henley,67,19.38,129,25
Seamus Power,36,19.35,31,6
Henrik Norlander,74,19.33,119,23
Kyle Stanley,57,19.32,88,17
Mark Anderson,51,19.12,68,13
Keith Mitchell,64,19.09,110,21
Matt Jones,76,19.08,131,25
Aaron Baddeley,49,19.05,84,16
Shane Lowry,44,19.05,63,12
Joseph Bramlett,57,19.05,84,16
Xinjun Zhang,77,19.01,121,23
Nate Lashley,52,18.99,79,15
Rhein Gibson,54,18.84,69,13
C.T. Pan,56,18.81,101,19
Tom Hoge,74,18.75,128,24
Keegan Bradley,68,18.64,118,22
Sepp Straka,70,18.58,113,21
Scott Brown,64,18.56,97,18
Brooks Koepka,40,18.46,65,12
Brandt Snedeker,53,18.28,93,17
Vaughn Taylor,61,18.18,99,18
Adam Long,88,18.18,121,22
Robert Streb,54,18.18,66,12
Daniel Berger,64,18.18,110,20
Joaquin Niemann,76,18.12,138,25
Kevin Na,71,18.10,105,19
Brian Harman,78,18.10,116,21
Jim Herman,60,17.92,106,19
Kevin Kisner,73,17.86,112,20
Matt Every,47,17.86,84,15
Jimmy Walker,46,17.78,90,16
James Hahn,36,17.74,62,11
Mackenzie Hughes,70,17.74,124,22
Viktor Hovland,74,17.74,124,22
Matthew Wolff,74,17.70,113,20
Charley Hoffman,63,17.65,102,18
Ryan Armour,60,17.65,85,15
Robby Shelton,75,17.59,108,19
Zac Blair,70,17.53,97,17
Sergio Garcia,44,17.24,58,10
Doug Ghim,44,16.92,65,11
Pat Perez,59,16.85,89,15
Tyler Duncan,83,16.79,131,22
Sebastián Muñoz,84,16.67,126,21
Hideki Matsuyama,74,16.67,108,18
Rickie Fowler,44,16.67,72,12
Patrick Rodgers,95,16.54,133,22
Sam Burns,60,16.36,110,18
Jordan Spieth,62,16.30,92,15
Ryan Moore,48,16.22,74,12
Bill Haas,46,16.07,56,9
Michael Gligic,52,16.07,56,9
Chase Seiffert,56,16.07,56,9
Tony Finau,72,16.03,131,21
Ben Taylor,44,16.00,50,8
Si Woo Kim,78,15.87,126,20
Matthew NeSmith,72,15.83,120,19
Kevin Tway,52,15.79,57,9
Max Homa,70,15.65,115,18
Lucas Glover,67,15.45,110,17
Billy Horschel,79,15.38,104,16
K.H. Lee,76,15.22,92,14
Alex Noren,60,15.15,66,10
Adam Scott,38,15.15,66,10
Tyler McCumber,57,15.07,73,11
Scott Piercy,66,15.05,93,14
Bo Hoag,71,15.00,80,12
Emiliano Grillo,69,14.94,87,13
Cameron Smith,64,14.81,108,16
Russell Knox,67,14.66,116,17
Chez Reavie,77,14.58,96,14
Luke List,69,14.56,103,15
Byeong Hun An,75,14.52,124,18
Zach Johnson,61,14.14,99,14
Cameron Champ,70,14.05,121,17
Will Gordon,36,14.00,50,7
Joel Dahmen,79,13.89,108,15
Scott Stallings,71,13.73,102,14
Jhonattan Vegas,52,13.70,73,10
Wes Roach,42,13.64,44,6
Danny Willett,40,13.46,52,7
Bud Cauley,65,13.39,112,15
D.J. Trahan,49,13.16,76,10
Jason Kokrak,62,13.08,107,14
Ben Martin,38,13.04,46,6
Ryan Brehm,52,13.04,69,9
Rob Oppenheim,65,12.75,102,13
Bo Van Pelt,45,12.50,56,7
Andrew Landry,63,12.50,120,15
Harold Varner III,74,11.93,109,13
Abraham Ancer,74,11.86,118,14
Michael Gellerman,46,10.94,64,7
Collin Morikawa,80,10.90,156,17
Jason Dufner,62,10.08,129,13
Paul Casey,56,9.76,82,8
Hank Lebioda,57,8.43,83,7
Chris Baker,53,8.33,60,5
Arjun Atwal,35,7.32,41,3
