RANK THIS WEEK,                                RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL SPIN SPEED,TOTAL ATTEMPTS,HIGHEST SPIN RATE,LOWEST SPIN RATE
        1,        1,Corey Conner,74,"3,088.7","568,313",184,"3,997","1,759"
        2,        2,Peter Uihlein,47,"2,994.6","443,201",148,"3,974","1,718"
        3,        3,Alex Noren,60,"2,981.2","974,841",327,"3,998","1,554"
        4,        4,Mark Hubbard,86,"2,943.6","1,215,724",413,"3,922","1,556"
        5,        6,Aaron Baddeley,49,"2,929.4","454,056",155,"3,800","1,586"
        6,        7,Roger Sloan,55,"2,920.1","864,351",296,"3,983","1,727"
        7,        8,Ben Martin,38,"2,918.6","332,723",114,"3,953","2,150"
        8,        9,Max Homa,70,"2,891.6","595,662",206,"3,944","1,527"
        9,        11,Rhein Gibson,54,"2,877.9","299,305",104,"3,921","1,785"
        10,        12,Adam Schenk,78,"2,871.4","493,884",172,"3,924","1,514"
        11,        13,Michael Gellerman,46,"2,865.9","232,135",81,"3,904","1,804"
        12,        14,Dylan Frittelli,82,"2,858.6","626,026",219,"3,919","1,553"
        13,        15,Robert Streb,54,"2,852.8","524,922",184,"3,679","1,544"
        14,        16,Pat Perez,59,"2,841.1","772,766",272,"3,863","1,644"
        15,        17,Nelson Ledesma,42,"2,826.8","220,490",78,"3,899","1,759"
        16,        18,Sergio Garcia,44,"2,817.9","276,151",98,"3,548","1,556"
        17,        19,Troy Merritt,72,"2,816.6","1,149,186",408,"3,899","1,539"
        18,        21,Patrick Reed,74,"2,813.9","621,875",221,"3,990","1,508"
        19,        20,Adam Hadwin,65,"2,811.7","1,313,057",467,"3,885","1,971"
        20,        22,Chris Baker,53,"2,799.5","344,338",123,"3,743","1,594"
        21,        23,Harris English,76,"2,794.5","681,852",244,"3,678","1,954"
        22,        24,Sam Ryder,74,"2,788.2","493,505",177,"3,750","1,531"
        23,        25,Rickie Fowler,44,"2,787.6","883,685",317,"3,851","1,668"
        24,        28,Sungjae Im,94,"2,785.0","1,679,355",603,"3,989","1,504"
        25,        27,Scott Harrington,68,"2,778.6","441,790",159,"3,867","1,534"
        26,        29,Kevin Na,71,"2,774.4","923,869",333,"3,938","1,502"
        27,        30,Cameron Champ,70,"2,772.7","438,081",158,"3,884","1,614"
        28,        31,Matt Jone,76,"2,757.7","1,276,811",463,"3,917","1,582"
        29,        32,Vincent Whaley,40,"2,757.4","377,770",137,"3,846","1,665"
        30,        33,Bubba Watson,66,"2,745.4","1,172,293",427,"3,991","1,525"
        31,        34,Kris Ventura,48,"2,738.5","347,791",127,"3,991","1,666"
        32,        35,Nick Watney,46,"2,736.6","325,656",119,"3,855","1,526"
        33,        36,Peter Malnati,61,"2,734.1","926,852",339,"3,955","1,552"
        34,        37,Will Gordon,36,"2,723.9","185,223",68,"3,678","1,628"
        35,        38,Adam Scott,38,"2,719.1","290,941",107,"3,645","1,548"
        36,        39,Carlos Ortiz,72,"2,713.3","1,031,045",380,"3,980","1,527"
        37,        41,Branden Grace,43,"2,708.2","696,010",257,"3,954","1,543"
        38,        42,Kevin Tway,52,"2,703.6","486,649",180,"3,744","1,950"
        39,        43,Stewart Cink,51,"2,703.5","451,487",167,"3,939","1,570"
        40,        44,Andrew Putnam,46,"2,701.7","251,256",93,"3,874","1,600"
        41,        45,Cameron Tringale,63,"2,699.4","523,685",194,"3,965","1,565"
        42,        48,Emiliano Grillo,69,"2,681.0","434,326",162,"3,536","1,521"
        43,        47,Kevin Kisner,73,"2,677.1","1,102,949",412,"3,903","1,646"
        44,        49,Cam Davi,62,"2,674.6","366,422",137,"3,478","1,531"
        45,        52,Sebastián Muñoz,84,"2,673.1","890,145",333,"3,843","1,534"
        46,        50,Chris Stroud,48,"2,669.7","750,195",281,"3,756","1,577"
        47,        51,Bud Cauley,65,"2,668.4","1,072,688",402,"3,903","1,513"
        48,        53,Michael Thompson,62,"2,662.3","569,723",214,"3,958","1,663"
        49,        58,Webb Simpson,52,"2,661.0","1,003,195",377,"3,991","1,947"
        50,        54,Kevin Streelman,73,"2,658.5","1,097,951",413,"3,800","1,515"
        51,        55,Charles Howell III,69,"2,657.2","895,460",337,"3,936","1,855"
        52,        67,Mackenzie Hughe,70,"2,656.2","632,165",238,"3,979","1,767"
        53,        56,Luke List,69,"2,655.2","483,240",182,"3,895","1,733"
        54,        65,Lanto Griffin,96,"2,653.8","777,551",293,"3,828","1,610"
        55,        57,Dominic Bozzelli,38,"2,653.7","352,945",133,"3,988","1,510"
        56,        60,Charley Hoffman,63,"2,651.1","962,360",363,"3,754","1,509"
        57,        59,Tony Finau,72,"2,648.4","513,787",194,"3,908","1,573"
        58,        61,Gary Woodland,62,"2,645.6","357,154",135,"3,960","1,653"
        59,        62,J.T. Poston,78,"2,642.6","1,165,365",441,"3,885","1,623"
        60,        63,Joseph Bramlett,57,"2,640.8","242,958",92,"3,676","1,540"
        61,        64,Michael Gligic,52,"2,639.5","356,329",135,"3,707","1,769"
        62,        66,Josh Teater,43,"2,634.2","532,106",202,"3,634","1,582"
        63,        69,Scottie Scheffler,82,"2,624.7","656,164",250,"3,805","1,715"
        64,        68,Jhonattan Vega,52,"2,623.8","495,906",189,"3,892","1,618"
        65,        70,Matt Wallace,44,"2,618.2","856,153",327,"3,902","1,556"
        66,        71,Joel Dahmen,79,"2,612.2","1,274,760",488,"3,949","1,544"
        67,        72,Doc Redman,82,"2,611.2","647,589",248,"3,916","1,649"
        68,        73,Matt Fitzpatrick,54,"2,609.4","1,004,602",385,"3,785","1,595"
        69,        74,Sam Burn,60,"2,604.9","1,023,735",393,"3,858","1,640"
        70,        75,Xinjun Zhang,77,"2,602.1","567,247",218,"3,703","1,605"
        71,        76,Brooks Koepka,40,"2,601.6","325,202",125,"3,635","1,702"
        72,        77,Patton Kizzire,55,"2,599.9","376,986",145,"3,517","1,659"
        73,        78,Graeme McDowell,48,"2,597.0","573,941",221,"3,600","1,517"
        74,        80,Daniel Berger,64,"2,595.2","1,043,270",402,"3,881","1,543"
        75,        79,Talor Gooch,83,"2,590.7","528,499",204,"3,981","1,686"
        76,        81,Bill Haa,46,"2,584.5","279,124",108,"3,605","1,581"
        77,        82,Brandon Hagy,50,"2,581.0","276,170",107,"3,826","1,599"
        78,        84,Abraham Ancer,74,"2,578.9","1,116,668",433,"3,973","1,535"
        79,        83,Russell Henley,67,"2,576.4","523,011",203,"3,780","1,716"
        80,        85,Mark Anderson,51,"2,566.4","254,069",99,"3,322","1,757"
        81,        86,Tyler Duncan,83,"2,560.6","1,241,887",485,"3,890","1,699"
        82,        87,Nick Taylor,59,"2,560.5","896,163",350,"3,459","1,529"
        83,        88,Kyle Stanley,57,"2,558.9","388,952",152,"3,976","1,644"
        84,        90,Keith Mitchell,64,"2,554.0","370,328",145,"3,415","1,530"
        85,        91,Phil Mickelson,51,"2,553.2","278,304",109,"3,995","1,574"
        86,        92,Chase Seiffert,56,"2,552.6","579,438",227,"3,961","1,627"
        87,        93,Brendan Steele,68,"2,551.9","785,988",308,"3,921","1,665"
        88,        94,Matt Kuchar,56,"2,549.0","917,650",360,"3,857","1,519"
        89,        95,Jason Dufner,62,"2,547.0","1,118,119",439,"3,941","1,524"
        90,        96,Wes Roach,42,"2,544.0","312,916",123,"3,482","1,509"
        91,        97,Patrick Rodger,95,"2,539.4","611,988",241,"3,878","1,545"
        92,        98,Ryan Brehm,52,"2,535.6","370,202",146,"3,503","1,530"
        93,        99,Bo Van Pelt,45,"2,534.1","610,714",241,"3,724","1,552"
        94,        100,Denny McCarthy,81,"2,532.6","1,000,381",395,"3,863","1,529"
        95,        101,Rory Sabbatini,66,"2,531.9","1,038,070",410,"3,934","1,560"
        96,        102,Louis Oosthuizen,48,"2,529.6","865,139",342,"3,846","1,576"
        97,        103,Hank Lebioda,57,"2,528.3","341,320",135,"3,899","1,580"
        98,        105,Matt Every,47,"2,503.8","325,500",130,"3,710","1,749"
        99,        107,Tom Hoge,74,"2,503.1","543,170",217,"3,357","1,676"
        100,        108,K.H. Lee,76,"2,500.2","512,549",205,"3,828","1,594"
        101,        109,Zac Blair,70,"2,499.7","964,893",386,"3,336","1,560"
        102,        110,"Ted Potter, Jr.",46,"2,494.8","284,403",114,"3,656","1,598"
        103,        106,Billy Horschel,79,"2,493.7","558,585",224,"3,560","1,773"
        104,        111,Matthew NeSmith,72,"2,491.1","371,172",149,"3,698","1,555"
        105,        112,Rob Oppenheim,65,"2,490.8","381,086",153,"3,436","1,532"
        106,        121,Viktor Hovland,74,"2,488.9","1,406,214",565,"3,982","1,502"
        107,        113,Brice Garnett,58,"2,488.6","358,365",144,"3,393","1,745"
        108,        114,Ian Poulter,48,"2,488.0","360,765",145,"3,523","1,593"
        109,        116,Xander Schauffele,70,"2,484.4","531,665",214,"3,414","1,575"
        110,        115,James Hahn,36,"2,483.8","387,465",156,"3,793","1,507"
        111,        117,Adam Long,88,"2,478.2","607,148",245,"3,912","1,534"
        112,        119,Jim Herman,60,"2,475.0","641,033",259,"3,321","1,597"
        113,        120,Martin Laird,39,"2,474.3","220,211",89,"3,675","1,631"
        114,        122,Vaughn Taylor,61,"2,472.7","660,217",267,"3,700","1,526"
        115,        123,Tyler McCumber,57,"2,471.2","397,857",161,"3,569","1,501"
        116,        124,Harry Higg,83,"2,471.1","620,240",251,"3,638","1,571"
        117,        125,Si Woo Kim,78,"2,468.7","540,651",219,"3,890","1,842"
        118,        126,Zach Johnson,61,"2,467.2","836,368",339,"3,613","1,507"
        119,        127,Ben Taylor,44,"2,466.9","197,348",80,"3,920","1,585"
        120,        128,Paul Casey,56,"2,465.3","379,656",154,"3,943","1,557"
        121,        118,Ryan Palmer,68,"2,464.5","468,264",190,"3,821","1,690"
        122,        129,Ryan Armour,60,"2,463.6","812,990",330,"3,918","1,593"
        123,        130,Kramer Hickok,51,"2,463.3","460,645",187,"3,773","1,507"
        124,        131,Wyndham Clark,65,"2,462.5","359,528",146,"3,963","1,527"
        125,        132,Scott Brown,64,"2,458.1","403,122",164,"3,892","1,637"
        126,        133,Justin Rose,38,"2,456.0","682,758",278,"3,690","1,597"
        127,        134,Bryson DeChambeau,62,"2,455.4","709,604",289,"3,903","1,500"
        128,        156,Marc Leishman,61,"2,451.8","343,245",140,"3,285","1,510"
        129,        135,Henrik Norlander,74,"2,446.9","401,296",164,"3,605","1,611"
        130,        136,Fabián Gómez,59,"2,444.4","307,989",126,"3,785","1,569"
        131,        137,Kevin Chappell,41,"2,441.8","293,010",120,"3,851","1,692"
        132,        138,Rafa Cabrera Bello,53,"2,440.0","802,753",329,"3,242","1,580"
        133,        139,C.T. Pan,56,"2,439.2","873,239",358,"3,797","1,518"
        134,        151,Tyrrell Hatton,42,"2,439.1","334,157",137,"3,659","1,520"
        135,        140,Andrew Landry,63,"2,438.9","1,034,092",424,"3,638","1,557"
        136,        141,Byeong Hun An,75,"2,438.4","1,092,392",448,"3,790","1,631"
        137,        T142,Scott Piercy,66,"2,436.8","852,895",350,"3,953","1,561"
        138,        144,Jim Furyk,39,"2,430.2","609,978",251,"3,356","1,521"
        139,        145,Bronson Burgoon,55,"2,428.7","616,895",254,"3,871","1,562"
        140,        147,Jon Rahm,58,"2,426.4","502,260",207,"3,379","1,659"
        141,        146,Brian Harman,78,"2,424.9","1,338,544",552,"3,676","1,526"
        142,        148,Chesson Hadley,62,"2,422.9","331,942",137,"3,519","1,535"
        143,        149,Sebastian Cappelen,55,"2,422.8","295,576",122,"3,769","1,507"
        144,        150,Brandt Snedeker,53,"2,421.8","905,761",374,"3,876","1,535"
        145,        152,Patrick Cantlay,46,"2,416.8","797,557",330,"3,249","1,570"
        146,        153,Bo Hoag,71,"2,414.3","613,235",254,"3,880","1,505"
        147,        154,Hideki Matsuyama,74,"2,412.4","499,366",207,"3,980","1,522"
        148,        155,Scott Stalling,71,"2,411.2","330,329",137,"3,446","1,544"
        149,        157,Jason Day,53,"2,410.4","339,866",141,"3,458","1,518"
        150,        158,Sung Kang,73,"2,404.2","411,117",171,"3,648","1,502"
        151,        159,Brian Stuard,83,"2,402.3","1,071,445",446,"3,902","1,558"
        152,        160,Russell Knox,67,"2,402.0","355,496",148,"3,628","1,548"
        153,        161,Ryan Moore,48,"2,398.6","321,417",134,"3,382","1,514"
        154,        162,Tommy Fleetwood,40,"2,396.7","268,434",112,"3,539","1,722"
        155,        163,J.J. Spaun,62,"2,394.6","359,188",150,"3,332","1,570"
        156,        164,Matthew Wolff,74,"2,387.2","529,958",222,"3,247","1,698"
        157,        165,Jordan Spieth,62,"2,385.7","887,471",372,"3,352","1,542"
        158,        166,Richy Werenski,60,"2,379.1","378,276",159,"3,539","1,510"
        159,        167,Grayson Murray,36,"2,374.6","396,552",167,"3,930","1,547"
        160,        168,Arjun Atwal,35,"2,371.0","177,822",75,"3,618","1,670"
        161,        169,Maverick McNealy,80,"2,363.2","775,116",328,"3,086","1,505"
        162,        170,Danny Lee,69,"2,363.1","465,537",197,"3,793","1,550"
        163,        171,Danny Willett,40,"2,362.3","266,936",113,"3,190","1,538"
        164,        178,Joaquin Niemann,76,"2,356.3","428,850",182,"3,632","1,519"
        165,        172,Zack Sucher,38,"2,350.3","357,239",152,"3,927","1,532"
        166,        173,Austin Cook,64,"2,349.3","834,004",355,"3,719","1,517"
        167,        175,Brendon Todd,86,"2,330.6","1,060,412",455,"3,629","1,540"
        168,        174,Dustin Johnson,49,"2,330.3","333,235",143,"3,627","1,571"
        169,        176,Seamus Power,36,"2,323.4","202,133",87,"3,601","1,579"
        170,        177,David Hearn,55,"2,322.2","297,237",128,"3,349","1,553"
        171,        179,Shane Lowry,44,"2,317.0","586,195",253,"3,981","1,518"
        172,        180,Keegan Bradley,68,"2,312.3","369,960",160,"3,954","1,577"
        173,        181,Brian Gay,67,"2,311.8","448,494",194,"3,371","1,546"
        174,        182,Tim Wilkinson,50,"2,306.7","500,555",217,"3,598","1,598"
        175,        184,Collin Morikawa,80,"2,303.3","550,482",239,"3,204","1,511"
        176,        183,Jason Kokrak,62,"2,296.9","859,039",374,"3,313","1,651"
        177,        185,Lucas Glover,67,"2,290.8","719,301",314,"3,771","1,592"
        178,        186,Beau Hossler,71,"2,285.7","767,989",336,"3,509","1,514"
        179,        188,Justin Thoma,66,"2,279.1","337,312",148,"3,307","1,511"
        180,        187,Nate Lashley,52,"2,264.9","631,900",279,"3,863","1,555"
        181,        189,Martin Trainer,48,"2,258.1","239,355",106,"3,651","1,542"
        182,        190,Cameron Smith,64,"2,251.3","846,490",376,"3,675","1,523"
        183,        191,Jimmy Walker,46,"2,244.0","491,437",219,"3,751","1,511"
        184,        193,Rory McIlroy,60,"2,232.5","437,566",196,"3,393","1,616"
        185,        192,Aaron Wise,49,"2,221.9","235,519",106,"3,842","1,557"
        186,        194,Robby Shelton,75,"2,204.1","443,020",201,"3,629","1,554"
        187,        195,Chez Reavie,77,"2,193.2","914,578",417,"3,659","1,507"
        188,        196,Anirban Lahiri,35,"2,174.4","130,464",60,"3,114","1,509"
        189,        197,Cameron Percy,49,"2,165.1","400,537",185,"3,537","1,510"
        190,        198,Sepp Straka,70,"2,128.1","355,396",167,"3,871","1,532"
        191,        199,Doug Ghim,44,"2,109.8","181,444",86,"3,931","1,510"
        192,        200,D.J. Trahan,49,"2,095.8","190,714",91,"3,382","1,529"
        193,        201,Harold Varner III,74,"2,070.9","704,120",340,"3,646","1,503"
